latitude,longitude,Time_Start,Time_Stop,TimeTaken 
13.0193004608,80.2242889404,64497,64527,30
13.0269403458,80.2311325073,64770,64786,16
13.0292100906,80.2307815552,64838,64858,20
13.0287599564,80.2272262573,65030,65050,20
13.0312004089,80.2232513428,65212,65232,20
13.030380249,80.2144775391,65474,65494,20
13.0416498184,80.2052536011,66786,66802,16
13.0441598892,80.2090988159,66865,66885,20
13.0470304489,80.2118682861,67188,67218,30
13.0489196777,80.2069091797,67450,67466,16
13.049200058,80.2072525024,67812,67842,30
13.0441398621,80.2103118896,68720,68749,29
13.044090271,80.208946228,68780,68800,20
13.0384397507,80.2020721436,69043,69059,16
13.0397500992,80.1932983398,69223,69244,21
13.038649559,80.1928634644,69274,69294,20
13.0371799469,80.1960830688,69355,69375,20
13.0363197327,80.2019500732,69486,69516,30
13.032500267,80.2119064331,69778,69799,21
13.0311899185,80.2094192505,69869,69885,16
13.0300397873,80.2095031738,69897,69918,21
13.0306596756,80.217010498,70109,70130,21
13.0240602493,80.2284469604,70946,70962,16
13.0198698044,80.2248687744,71075,71095,20
12.9960603714,80.2677230835,72718,72739,21
13.0001296997,80.2666015625,73556,73586,30
12.9956197739,80.2675323486,73687,73707,20
13.0054597855,80.2573013306,74191,74211,20
13.0074100494,80.2368621826,74888,74908,20
13.0113801956,80.2234573364,75090,75110,20
13.0192804337,80.2243728638,75342,75363,21
13.019610405,80.2245788574,75383,75403,20
13.0207195282,80.2253570557,75433,75449,16
13.0257997513,80.230758667,75552,75573,21
13.0284404755,80.2309265137,75633,75653,20
13.0305404663,80.2307510376,75704,75734,30
13.0303001404,80.2283630371,75785,75805,20
13.0316295624,80.2093887329,76441,76471,30
13.0357398987,80.2051696777,76632,76652,20
13.0362501144,80.201499939,76723,76743,20
13.0366296768,80.1991882324,76794,76810,16
13.038359642,80.1927566528,76944,76967,23
13.0488004684,80.2069091797,77616,77636,20
13.0495996475,80.2121887207,78766,78787,21
13.0313997269,80.2170715332,80019,80036,17
13.0321397781,80.2208709717,80088,80107,19
13.0309095383,80.224571228,80169,80199,30
13.0297498703,80.2308425903,80441,80461,20
13.0270500183,80.2329483032,80542,80562,20
13.016699791,80.2254180908,80805,80821,16
13.0143499374,80.2262878418,80841,80863,22
13.0124902725,80.2270202637,80893,80914,21
13.0082597733,80.233543396,81035,81055,20
13.0075302124,80.2367630005,81105,81125,20
13.007109642,80.2405929565,81158,81188,30
13.0065898895,80.2575683594,81450,81467,17
12.9976701736,80.2560119629,81600,81620,20
12.996219635,80.2623062134,81741,81761,20
12.9960298538,80.2677001953,81842,81870,28
13.0759401321,80.2761993408,17327,17347,20
13.0749998093,80.2763824463,18002,18019,17
13.0562400818,80.2564620972,18526,18542,16
13.0233402252,80.2275695801,19090,19110,20
13.019490242,80.2245483398,19161,19177,16
12.9594602585,80.2448425293,19977,19994,17
12.9517602921,80.2417221069,20086,20107,21
12.9396896362,80.2357635498,20248,20269,21
12.8861999512,80.2270126343,20845,20861,16
12.8849201202,80.2267913818,20861,20883,22
12.8740301132,80.2268218994,20995,21019,24
12.8325595856,80.229133606,21405,21421,16
12.7252197266,80.1880493164,22434,22450,16
12.7222795486,80.1874771118,23847,23867,20
12.7864398956,80.2204208374,24575,24595,20
12.8454399109,80.2265167236,25303,25323,20
12.9508800507,80.2412490845,26475,26492,17
12.9633798599,80.2465820313,26656,26677,21
12.9669399261,80.2479934692,26747,26763,16
13.0156097412,80.2250366211,27657,27677,20
13.0474996567,80.2486801147,28304,28320,16
13.0595903397,80.2600479126,28474,28495,21
13.0812997818,80.2751464844,28932,28952,20
13.0825004578,80.2786026001,30824,30845,21
13.0565004349,80.2573013306,31674,31695,21
13.0456495285,80.2483825684,31876,31893,17
13.0353803635,80.2461166382,32046,32067,21
13.0258903503,80.2310409546,32299,32315,16
13.0247802734,80.2292785645,32315,32337,22
