No,day,month,latitude,longitude,bus_id,seconds,No
367667,6,3,13.05107975,80.20612335,45214920406,52040,367667
367739,6,3,13.05107975,80.20612335,45214920406,52050,367739
367816,6,3,13.05107975,80.20612335,45214920406,52060,367816
367894,6,3,13.05107975,80.20612335,45214920406,52070,367894
367931,6,3,13.05107975,80.20612335,45214920406,52076,367931
367932,6,3,13.05107975,80.20612335,45214920406,52076,367932
367934,6,3,13.05107975,80.20612335,45214920406,52076,367934
367935,6,3,13.05107975,80.20612335,45214920406,52076,367935
367936,6,3,13.05107975,80.20612335,45214920406,52076,367936
367937,6,3,13.05107975,80.20612335,45214920406,52076,367937
367938,6,3,13.05107975,80.20612335,45214920406,52076,367938
367939,6,3,13.05107975,80.20612335,45214920406,52076,367939
367940,6,3,13.05107975,80.20612335,45214920406,52076,367940
367941,6,3,13.05107975,80.20612335,45214920406,52076,367941
367951,6,3,13.05107975,80.20612335,45214920406,52076,367951
367952,6,3,13.05107975,80.20612335,45214920406,52076,367952
367953,6,3,13.05107975,80.20612335,45214920406,52076,367953
367954,6,3,13.05107975,80.20612335,45214920406,52076,367954
367955,6,3,13.05107975,80.20612335,45214920406,52076,367955
367956,6,3,13.05107975,80.20612335,45214920406,52076,367956
367957,6,3,13.05107975,80.20612335,45214920406,52076,367957
367958,6,3,13.05107975,80.20612335,45214920406,52076,367958
367959,6,3,13.05107975,80.20612335,45214920406,52076,367959
367960,6,3,13.05107975,80.20612335,45214920406,52076,367960
367961,6,3,13.05107975,80.20612335,45214920406,52076,367961
367962,6,3,13.05107975,80.20612335,45214920406,52076,367962
367963,6,3,13.05107975,80.20612335,45214920406,52076,367963
367964,6,3,13.05107975,80.20612335,45214920406,52076,367964
367965,6,3,13.05107975,80.20612335,45214920406,52076,367965
367966,6,3,13.05107975,80.20612335,45214920406,52076,367966
369920,6,3,13.05099964,80.2061615,45214920406,52343,369920
369996,6,3,13.05099964,80.2061615,45214920406,52353,369996
370066,6,3,13.05099964,80.2061615,45214920406,52363,370066
370138,6,3,13.05099964,80.2061615,45214920406,52373,370138
370213,6,3,13.05099964,80.2061615,45214920406,52383,370213
370225,6,3,13.05099964,80.2061615,45214920406,52384,370225
370227,6,3,13.05099964,80.2061615,45214920406,52384,370227
370228,6,3,13.05099964,80.2061615,45214920406,52384,370228
370229,6,3,13.05099964,80.2061615,45214920406,52384,370229
370230,6,3,13.05099964,80.2061615,45214920406,52384,370230
370231,6,3,13.05099964,80.2061615,45214920406,52384,370231
370232,6,3,13.05099964,80.2061615,45214920406,52384,370232
370233,6,3,13.05099964,80.2061615,45214920406,52384,370233
370234,6,3,13.05099964,80.2061615,45214920406,52384,370234
370235,6,3,13.05099964,80.2061615,45214920406,52384,370235
370236,6,3,13.05099964,80.2061615,45214920406,52384,370236
370237,6,3,13.05099964,80.2061615,45214920406,52384,370237
370238,6,3,13.05099964,80.2061615,45214920406,52384,370238
370239,6,3,13.05099964,80.2061615,45214920406,52384,370239
370240,6,3,13.05099964,80.2061615,45214920406,52384,370240
370241,6,3,13.05099964,80.2061615,45214920406,52384,370241
370242,6,3,13.05099964,80.2061615,45214920406,52384,370242
370243,6,3,13.05099964,80.2061615,45214920406,52384,370243
370244,6,3,13.05099964,80.2061615,45214920406,52384,370244
370245,6,3,13.05099964,80.2061615,45214920406,52384,370245
370246,6,3,13.05099964,80.2061615,45214920406,52384,370246
370247,6,3,13.05099964,80.2061615,45214920406,52384,370247
370248,6,3,13.05099964,80.2061615,45214920406,52384,370248
370249,6,3,13.05099964,80.2061615,45214920406,52384,370249
370250,6,3,13.05099964,80.2061615,45214920406,52384,370250
372159,6,3,13.05109978,80.2061615,45214920406,52646,372159
372236,6,3,13.05109978,80.2061615,45214920406,52656,372236
372307,6,3,13.05109978,80.2061615,45214920406,52666,372307
372380,6,3,13.05109978,80.2061615,45214920406,52676,372380
372456,6,3,13.05109978,80.2061615,45214920406,52686,372456
372503,6,3,13.05109978,80.2061615,45214920406,52693,372503
372504,6,3,13.05109978,80.2061615,45214920406,52693,372504
372505,6,3,13.05109978,80.2061615,45214920406,52693,372505
372506,6,3,13.05109978,80.2061615,45214920406,52693,372506
372507,6,3,13.05109978,80.2061615,45214920406,52693,372507
372508,6,3,13.05109978,80.2061615,45214920406,52693,372508
372509,6,3,13.05109978,80.2061615,45214920406,52693,372509
